episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,-9.909464934908845
2,30.0,30.0,30.0,30.0,-30.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,40.0,40.0,40.0,40.0,-40.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,-45.51947746872865
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,-0.7776971909373409
12,0.0,0.0,0.0,0.0,-31.53719240029487
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,-0.024157452783625244
15,0.0,0.0,0.0,0.0,-25.39017329848265
16,0.0,0.0,0.0,0.0,-0.2716657647345144
17,0.0,0.0,0.0,0.0,-5.171684142303599
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,-13.441339955430886
25,0.0,0.0,0.0,0.0,-15.641663776322751
26,0.0,0.0,0.0,0.0,-18.616822089527723
27,0.0,0.0,0.0,0.0,-30.84091907149939
28,0.0,0.0,0.0,0.0,-2.4793592447017385
29,0.0,0.0,0.0,0.0,-0.23878287503043993
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,-8.505910708117149
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,-14.695838928672067
34,0.0,0.0,0.0,0.0,-0.37883289839759304
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,-9.945807099109139
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,-31.388971785581063
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,-0.27631358935492845
44,20.0,20.0,20.0,20.0,-20.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,-7.009444879081517
47,0.0,0.0,0.0,0.0,-17.825723816493714
48,30.0,30.0,30.0,30.0,-30.0
49,0.0,0.0,0.0,0.0,-35.356315982464245
50,20.0,20.0,20.0,20.0,-31.563246675694195
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,10.0,10.0,10.0,10.0,-10.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,-22.47568096034889
57,0.0,0.0,0.0,0.0,-5.360887427415221
58,0.0,0.0,0.0,0.0,-9.55599840117993
59,0.0,0.0,0.0,0.0,-2.9337471358948717
60,0.0,0.0,0.0,0.0,-12.982244046904972
61,0.0,0.0,0.0,0.0,-12.794903737288422
62,0.0,0.0,0.0,0.0,-0.5627360822459004
63,0.0,0.0,0.0,0.0,-35.43955350959561
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,-8.890137337560812
66,10.0,10.0,10.0,10.0,-36.19824664258539
67,0.0,0.0,0.0,0.0,-9.896038303030103
68,0.0,0.0,0.0,0.0,0.0
