episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,-3.5530481129511493
2,0.0,0.0,0.0,0.0,-31.364063980540763
3,0.0,0.0,0.0,0.0,-64.85740519611352
4,0.0,0.0,0.0,0.0,-25.869925068085045
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,-5.401179795739335
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,-13.623480073234875
9,0.0,0.0,0.0,0.0,-4.17704573279387
10,0.0,0.0,0.0,0.0,-13.716006069022539
11,0.0,0.0,0.0,0.0,-19.044444744627285
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,-6.41296627611767
17,30.0,30.0,30.0,30.0,-30.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,-6.533134230091237
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,-28.442819773248726
23,0.0,0.0,0.0,0.0,-2.947801859896
24,0.0,0.0,0.0,0.0,-15.519761016757974
25,0.0,0.0,0.0,0.0,0.0
26,50.0,50.0,50.0,50.0,-50.0
27,30.0,30.0,30.0,30.0,-43.65170761986786
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,-13.245205046910474
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,-2.935064333147882
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,-16.835353443484394
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,-11.613283019880871
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,-25.96188890565996
39,0.0,0.0,0.0,0.0,-21.584929128296636
40,0.0,0.0,0.0,0.0,0.0
41,30.0,30.0,30.0,30.0,-35.30470887939202
42,0.0,0.0,0.0,0.0,-1.3666449127976144
43,0.0,0.0,0.0,0.0,-12.825337122386351
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,-1.5076580712107535
49,0.0,0.0,0.0,0.0,-4.521317577667854
50,0.0,0.0,0.0,0.0,-35.28653564633992
51,0.0,0.0,0.0,0.0,-9.22649134728446
52,0.0,0.0,0.0,0.0,-45.34377288087381
53,0.0,0.0,0.0,0.0,-41.82631174275237
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,-85.89521919342674
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,-27.740847377130002
58,0.0,0.0,0.0,0.0,-10.690945011673573
59,20.0,20.0,20.0,20.0,-65.10530429139136
60,0.0,0.0,0.0,0.0,-126.0074275357188
61,0.0,0.0,0.0,0.0,-20.67519865615312
62,0.0,0.0,0.0,0.0,-9.69124215910265
63,10.0,10.0,10.0,10.0,-10.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,10.0,10.0,10.0,10.0,-10.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,20.0,20.0,20.0,20.0,-20.03124679409396
70,0.0,0.0,0.0,0.0,-3.247279008268468
71,10.0,10.0,10.0,10.0,-10.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,-1.1713317701947423
74,0.0,0.0,0.0,0.0,-6.778815610401758
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,-16.67200081604356
77,0.0,0.0,0.0,0.0,-6.041147677583303
78,30.0,30.0,30.0,30.0,-30.0
79,0.0,0.0,0.0,0.0,-26.2111341465199
80,10.0,10.0,10.0,10.0,-11.148067065259816
81,0.0,0.0,0.0,0.0,-20.95876211368592
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,-2.0291074483019966
84,30.0,30.0,30.0,30.0,-30.63442014723011
85,0.0,0.0,0.0,0.0,0.0
