episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,-0.7472411072973273
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-0.24861560763627888
6,0.0,0.0,0.0,0.0,-10.968148876907081
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,-5.327381042187945
12,0.0,0.0,0.0,0.0,-21.462079428800642
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,30.0,30.0,30.0,30.0,-30.0
16,0.0,0.0,0.0,0.0,-17.942795421301113
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,-37.907241455070164
21,20.0,20.0,20.0,20.0,-20.598886513958604
22,0.0,0.0,0.0,0.0,0.0
23,30.0,30.0,30.0,30.0,-30.0
24,0.0,0.0,0.0,0.0,-24.76812745331174
25,10.0,10.0,10.0,10.0,-10.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,-18.76748088905426
29,20.0,20.0,20.0,20.0,-20.0
30,0.0,0.0,0.0,0.0,-27.940419336112825
31,20.0,20.0,20.0,20.0,-20.0
32,0.0,0.0,0.0,0.0,-0.4176289826347246
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,30.0,30.0,30.0,30.0,-30.0
36,10.0,10.0,10.0,10.0,-10.0
37,10.0,10.0,10.0,10.0,-10.351520695274782
38,30.0,30.0,30.0,30.0,-31.05509143924964
39,0.0,0.0,0.0,0.0,-2.8285300304702474
40,20.0,20.0,20.0,20.0,-20.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,70.0,70.0,70.0,70.0,-70.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,-0.9078351624449865
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,-7.410367172559726
53,30.0,30.0,30.0,30.0,-82.28263790782545
54,0.0,0.0,0.0,0.0,-6.6996716156658165
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,-29.26796401783229
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,-20.978965086104488
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,-0.11631460029675633
62,0.0,0.0,0.0,0.0,-35.44000841215641
63,0.0,0.0,0.0,0.0,0.0
64,10.0,10.0,10.0,10.0,-10.0
65,0.0,0.0,0.0,0.0,0.0
66,10.0,10.0,10.0,10.0,-195.93974111702943
