episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,-12.71907193133338
2,0.0,0.0,0.0,0.0,-7.594411936213698
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,-23.74738448255872
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,-14.902473953123357
7,0.0,0.0,0.0,0.0,-10.329137322779808
8,0.0,0.0,0.0,0.0,0.0
9,40.0,40.0,40.0,40.0,-41.358290465606466
10,0.0,0.0,0.0,0.0,-6.165458773429108
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,10.0,10.0,10.0,10.0,-10.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,-18.512973867190645
21,30.0,30.0,30.0,30.0,-30.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,-29.006459235794882
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,70.0,70.0,70.0,70.0,-70.0
27,0.0,0.0,0.0,0.0,-6.267973168328784
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,10.0,10.0,10.0,10.0,-10.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,-0.9204188629138943
37,0.0,0.0,0.0,0.0,-8.037395852518532
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,-0.04182653001835179
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,-2.3173416324295495
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,-16.7176889420621
49,0.0,0.0,0.0,0.0,-2.9536382969459094
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,-25.696571807312104
52,10.0,10.0,10.0,10.0,-83.65557120048271
53,0.0,0.0,0.0,0.0,-8.778565409739548
54,0.0,0.0,0.0,0.0,-73.06335997143836
55,0.0,0.0,0.0,0.0,-72.1899037362036
56,40.0,40.0,40.0,40.0,-83.61104805748181
57,0.0,0.0,0.0,0.0,-35.79304418938699
58,0.0,0.0,0.0,0.0,-29.884359959532425
59,10.0,10.0,10.0,10.0,-93.46152722580555
60,0.0,0.0,0.0,0.0,-63.03214549471645
61,0.0,0.0,0.0,0.0,-15.104903525870267
62,0.0,0.0,0.0,0.0,-76.85031524405271
63,10.0,10.0,10.0,10.0,-43.3092751593859
64,0.0,0.0,0.0,0.0,-15.379577844048585
65,0.0,0.0,0.0,0.0,-21.802832531703952
66,0.0,0.0,0.0,0.0,-105.57861660939295
67,0.0,0.0,0.0,0.0,-41.88057569126123
68,0.0,0.0,0.0,0.0,-48.53335477085156
69,0.0,0.0,0.0,0.0,-80.47694645956412
70,0.0,0.0,0.0,0.0,-50.93276077312668
71,0.0,0.0,0.0,0.0,-10.417728755131723
72,0.0,0.0,0.0,0.0,-69.36527998892907
73,0.0,0.0,0.0,0.0,-42.82091897527944
74,0.0,0.0,0.0,0.0,-109.18497331164129
75,0.0,0.0,0.0,0.0,-11.130821270075021
76,10.0,10.0,10.0,10.0,-20.994644249250666
77,0.0,0.0,0.0,0.0,-19.194459618239282
78,0.0,0.0,0.0,0.0,-5.896937819574887
79,0.0,0.0,0.0,0.0,-16.200331298633632
80,0.0,0.0,0.0,0.0,-6.644958175848659
81,0.0,0.0,0.0,0.0,0.0
82,30.0,30.0,30.0,30.0,-32.33034948154324
83,10.0,10.0,10.0,10.0,-10.902551382401828
84,0.0,0.0,0.0,0.0,-10.159818088274676
85,0.0,0.0,0.0,0.0,-8.4650577543436
86,0.0,0.0,0.0,0.0,-31.935342059016286
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,-2.9755380010572807
89,0.0,0.0,0.0,0.0,-18.380786011071862
90,0.0,0.0,0.0,0.0,-29.600519373728776
91,0.0,0.0,0.0,0.0,-0.6143295666387871
92,20.0,20.0,20.0,20.0,-20.0
93,0.0,0.0,0.0,0.0,-0.9117553868500283
94,0.0,0.0,0.0,0.0,-106.93863734097332
95,0.0,0.0,0.0,0.0,-14.473899137296813
96,0.0,0.0,0.0,0.0,-43.63583061776486
97,30.0,30.0,30.0,30.0,-30.0
98,0.0,0.0,0.0,0.0,-0.9681053723692057
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,-102.04889906587609
102,0.0,0.0,0.0,0.0,-62.017260125129255
103,0.0,0.0,0.0,0.0,-99.67600170159285
104,0.0,0.0,0.0,0.0,-26.073573241072374
105,0.0,0.0,0.0,0.0,-40.44323297375904
106,0.0,0.0,0.0,0.0,-12.514746304771888
107,0.0,0.0,0.0,0.0,-26.60090178188319
108,20.0,20.0,20.0,20.0,-27.89919275284665
109,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,-135.064209095177
111,0.0,0.0,0.0,0.0,-14.602296442991102
112,0.0,0.0,0.0,0.0,-73.05410889809173
113,0.0,0.0,0.0,0.0,0.0
114,10.0,10.0,10.0,10.0,-27.0961519789427
115,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,-15.405926054006772
117,0.0,0.0,0.0,0.0,-50.85575699524874
118,0.0,0.0,0.0,0.0,-49.18848222296175
119,0.0,0.0,0.0,0.0,-19.900935938958
120,0.0,0.0,0.0,0.0,-72.48106909924591
121,30.0,30.0,30.0,30.0,-37.55981236160189
122,0.0,0.0,0.0,0.0,-0.3726074711598837
123,0.0,0.0,0.0,0.0,-21.256458863817183
124,0.0,0.0,0.0,0.0,-46.914820160580774
125,0.0,0.0,0.0,0.0,-30.669146621802575
126,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,-28.51062123994403
128,0.0,0.0,0.0,0.0,-39.32971241721937
129,0.0,0.0,0.0,0.0,-131.3417677407393
130,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,-20.2159549029918
133,0.0,0.0,0.0,0.0,-7.828980539649601
134,20.0,20.0,20.0,20.0,-98.98395754022707
135,0.0,0.0,0.0,0.0,-64.10545037792487
136,0.0,0.0,0.0,0.0,-19.98090726732377
137,0.0,0.0,0.0,0.0,-15.277788587960769
138,0.0,0.0,0.0,0.0,-13.267389163590073
139,0.0,0.0,0.0,0.0,-2.5540491109257175
140,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0
142,10.0,10.0,10.0,10.0,-40.710994745295636
143,0.0,0.0,0.0,0.0,-33.53753690755365
144,30.0,30.0,30.0,30.0,-30.0
145,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,-18.53389112526011
147,90.0,90.0,90.0,90.0,-126.91489513686436
148,0.0,0.0,0.0,0.0,0.0
149,20.0,20.0,20.0,20.0,-20.0
150,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,-38.60601434752624
152,0.0,0.0,0.0,0.0,0.0
153,70.0,70.0,70.0,70.0,-101.29692680046855
154,20.0,20.0,20.0,20.0,-20.0
155,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,0.0
157,30.0,30.0,30.0,30.0,-52.10649452941328
158,0.0,0.0,0.0,0.0,-4.800512166225907
159,0.0,0.0,0.0,0.0,-10.39886375544769
160,0.0,0.0,0.0,0.0,-29.514782019783112
161,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,-29.23508071231793
163,0.0,0.0,0.0,0.0,-67.70893873960978
164,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,-29.569085877377894
167,20.0,20.0,20.0,20.0,-63.10657263594033
168,10.0,10.0,10.0,10.0,-22.888366898499118
169,20.0,20.0,20.0,20.0,-34.14284703897874
170,10.0,10.0,10.0,10.0,-41.20486030140438
171,0.0,0.0,0.0,0.0,0.0
172,10.0,10.0,10.0,10.0,-65.88387071688283
173,0.0,0.0,0.0,0.0,-3.3704896588203646
174,10.0,10.0,10.0,10.0,-10.0
175,10.0,10.0,10.0,10.0,-10.0
176,0.0,0.0,0.0,0.0,-99.53092807570448
177,0.0,0.0,0.0,0.0,-15.611667082176176
178,0.0,0.0,0.0,0.0,-7.804359170818698
179,0.0,0.0,0.0,0.0,-137.17297773607305
180,0.0,0.0,0.0,0.0,-19.51419778750962
181,0.0,0.0,0.0,0.0,-32.71647745866499
182,0.0,0.0,0.0,0.0,-5.435693106431192
183,0.0,0.0,0.0,0.0,-63.26868611866038
184,0.0,0.0,0.0,0.0,-23.775221467018177
185,0.0,0.0,0.0,0.0,-39.92487863966074
186,0.0,0.0,0.0,0.0,-15.986712809911882
187,0.0,0.0,0.0,0.0,-5.051790187180399
188,0.0,0.0,0.0,0.0,-32.480011616077704
189,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0
192,40.0,40.0,40.0,40.0,-43.98999312481987
193,0.0,0.0,0.0,0.0,-19.437637852582384
194,0.0,0.0,0.0,0.0,-62.9636898332807
195,10.0,10.0,10.0,10.0,-10.0
196,0.0,0.0,0.0,0.0,-113.61635049310325
197,0.0,0.0,0.0,0.0,-53.51279900081586
198,0.0,0.0,0.0,0.0,-30.009003059652294
199,0.0,0.0,0.0,0.0,-62.6715857300443
