episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,30.0,30.0,30.0,30.0,-30.22443501800356
5,20.0,20.0,20.0,20.0,-20.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,-1.8130638462378281
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,-4.999846682267779
13,30.0,30.0,30.0,30.0,-32.134713638930656
14,0.0,0.0,0.0,0.0,-6.0950535224966895
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,-2.2162838044931057
17,0.0,0.0,0.0,0.0,-18.938969849797868
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,-17.76460994044889
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,-3.6760323982039314
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,30.0,30.0,30.0,30.0,-30.0
27,0.0,0.0,0.0,0.0,0.0
28,30.0,30.0,30.0,30.0,-30.0
29,0.0,0.0,0.0,0.0,-29.104290142562252
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,-4.875687819018118
32,0.0,0.0,0.0,0.0,-3.5394473794804204
33,0.0,0.0,0.0,0.0,-22.475125160632185
34,0.0,0.0,0.0,0.0,-1.783970362346593
35,30.0,30.0,30.0,30.0,-49.84238310542628
36,0.0,0.0,0.0,0.0,-0.12499609326475203
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,-4.760228549472766
39,0.0,0.0,0.0,0.0,-2.7444192720668115
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,-34.49281615525866
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,20.0,20.0,20.0,20.0,-20.937243699369517
47,0.0,0.0,0.0,0.0,-25.869092014922188
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,-22.251777248200245
50,0.0,0.0,0.0,0.0,0.0
51,30.0,30.0,30.0,30.0,-30.0
52,0.0,0.0,0.0,0.0,-12.930265411419136
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,20.0,20.0,20.0,20.0,-20.0
57,0.0,0.0,0.0,0.0,-2.5197854942023676
58,0.0,0.0,0.0,0.0,-0.5565839553050145
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,-17.2853508043629
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,-32.33777804014157
64,0.0,0.0,0.0,0.0,-21.79510561754193
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
