episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,-10.802179461573985
2,0.0,0.0,0.0,0.0,-24.058509682462173
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,-0.1485507833094235
6,0.0,0.0,0.0,0.0,-0.23263779561755848
7,30.0,30.0,30.0,30.0,-56.47928685357807
8,0.0,0.0,0.0,0.0,-17.939437778940917
9,0.0,0.0,0.0,0.0,-13.585201878230313
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,-32.22886892290022
12,0.0,0.0,0.0,0.0,-24.996835753587938
13,0.0,0.0,0.0,0.0,0.0
14,20.0,20.0,20.0,20.0,-24.825063544215716
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,-13.658836415830574
18,20.0,20.0,20.0,20.0,-20.0
19,0.0,0.0,0.0,0.0,0.0
20,20.0,20.0,20.0,20.0,-20.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,-10.838922896346462
24,30.0,30.0,30.0,30.0,-30.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,-7.3228032910679195
27,0.0,0.0,0.0,0.0,-5.209430302606799
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,-0.06232405116146311
30,0.0,0.0,0.0,0.0,-4.319734075723025
31,0.0,0.0,0.0,0.0,0.0
32,50.0,50.0,50.0,50.0,-62.834214794634555
33,0.0,0.0,0.0,0.0,-7.401361379024985
34,0.0,0.0,0.0,0.0,-19.114288899061556
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,-3.2179895074747344
37,0.0,0.0,0.0,0.0,-15.615090607120594
38,30.0,30.0,30.0,30.0,-30.0
39,0.0,0.0,0.0,0.0,-5.5102263647782195
40,0.0,0.0,0.0,0.0,-13.975825157897539
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,-31.804352067895795
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,-1.7677257037347616
45,0.0,0.0,0.0,0.0,-47.629612151906805
46,0.0,0.0,0.0,0.0,-19.00403475353618
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,-37.70019057116909
49,0.0,0.0,0.0,0.0,-3.549227347652063
50,0.0,0.0,0.0,0.0,-43.715813684416766
51,0.0,0.0,0.0,0.0,-13.87270099516815
52,0.0,0.0,0.0,0.0,-90.74419701788624
53,0.0,0.0,0.0,0.0,-11.709611834569573
54,0.0,0.0,0.0,0.0,-82.85775859299551
55,0.0,0.0,0.0,0.0,-96.79494585054337
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,-136.85483326377067
58,0.0,0.0,0.0,0.0,-141.5837243119706
59,0.0,0.0,0.0,0.0,-76.34144448974291
60,0.0,0.0,0.0,0.0,-92.99450214133961
61,0.0,0.0,0.0,0.0,-32.01032595943795
62,30.0,30.0,30.0,30.0,-30.0
63,0.0,0.0,0.0,0.0,-206.5881335503395
64,0.0,0.0,0.0,0.0,-54.02711403839211
65,10.0,10.0,10.0,10.0,-16.24742782072662
66,0.0,0.0,0.0,0.0,-111.77687783196393
67,0.0,0.0,0.0,0.0,-56.25074734242481
68,0.0,0.0,0.0,0.0,-223.43322684566886
69,0.0,0.0,0.0,0.0,-4.432443274178351
70,0.0,0.0,0.0,0.0,-7.436164603244319
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,-58.56309228134483
73,0.0,0.0,0.0,0.0,-22.90026588264921
74,0.0,0.0,0.0,0.0,-71.4018357836056
75,30.0,30.0,30.0,30.0,-54.118758237097346
76,0.0,0.0,0.0,0.0,-20.30783522119346
77,0.0,0.0,0.0,0.0,-0.34208500205890724
78,0.0,0.0,0.0,0.0,-28.949110545254754
79,20.0,20.0,20.0,20.0,-20.0
80,0.0,0.0,0.0,0.0,-13.2460741435847
81,0.0,0.0,0.0,0.0,-13.19097691065634
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,-23.419940701050805
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,-25.953458359003104
86,0.0,0.0,0.0,0.0,-27.56871569274229
87,20.0,20.0,20.0,20.0,-20.0
88,0.0,0.0,0.0,0.0,-0.2581525651059047
89,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,-3.476115259063733
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,50.0,50.0,50.0,50.0,-50.0
95,10.0,10.0,10.0,10.0,-10.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,-4.211068151737281
99,0.0,0.0,0.0,0.0,0.0
100,20.0,20.0,20.0,20.0,-20.748363976118423
101,0.0,0.0,0.0,0.0,-0.6718363367594804
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,-0.01012081579335411
104,0.0,0.0,0.0,0.0,0.0
105,20.0,20.0,20.0,20.0,-20.0
106,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,-11.469084946635359
109,30.0,30.0,30.0,30.0,-30.0
110,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0
114,30.0,30.0,30.0,30.0,-30.0
115,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,-0.7472060137181047
117,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,-0.7745243119810119
119,10.0,10.0,10.0,10.0,-10.798818248951253
120,40.0,40.0,40.0,40.0,-45.96668200587285
121,10.0,10.0,10.0,10.0,-13.555176299569617
122,0.0,0.0,0.0,0.0,-2.351636534589768
123,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,-0.7656789326037627
125,30.0,30.0,30.0,30.0,-30.63961515890957
126,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,-13.924662224476682
128,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0
130,40.0,40.0,40.0,40.0,-40.0
131,0.0,0.0,0.0,0.0,-17.20510058398328
132,0.0,0.0,0.0,0.0,-0.9216663759643118
133,0.0,0.0,0.0,0.0,-1.4629791298157624
134,50.0,50.0,50.0,50.0,-50.0
135,20.0,20.0,20.0,20.0,-20.0
136,0.0,0.0,0.0,0.0,-1.2124587940020248
137,30.0,30.0,30.0,30.0,-30.0
138,30.0,30.0,30.0,30.0,-30.0
139,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,-0.14222339995364597
142,0.0,0.0,0.0,0.0,-43.64466966994745
143,0.0,0.0,0.0,0.0,0.0
144,20.0,20.0,20.0,20.0,-27.28751189751059
145,0.0,0.0,0.0,0.0,0.0
146,30.0,30.0,30.0,30.0,-30.03938885746527
147,20.0,20.0,20.0,20.0,-20.0
148,20.0,20.0,20.0,20.0,-20.0
149,30.0,30.0,30.0,30.0,-31.759855595576866
150,20.0,20.0,20.0,20.0,-20.0
151,0.0,0.0,0.0,0.0,-48.881405683457366
152,0.0,0.0,0.0,0.0,0.0
153,20.0,20.0,20.0,20.0,-20.0
154,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,-51.38354970562288
157,30.0,30.0,30.0,30.0,-30.0
158,20.0,20.0,20.0,20.0,-20.257266296617896
159,0.0,0.0,0.0,0.0,-29.897951843532216
160,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,-49.53103960223004
162,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0
164,30.0,30.0,30.0,30.0,-30.0
165,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,-0.8701009307795371
167,20.0,20.0,20.0,20.0,-32.95328308873688
168,0.0,0.0,0.0,0.0,-1.3207220330896874
169,10.0,10.0,10.0,10.0,-10.0
170,30.0,30.0,30.0,30.0,-30.0
171,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,-0.021550691320711968
173,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0,-0.18399072890022072
177,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,-1.9766813254455418
179,10.0,10.0,10.0,10.0,-12.321085917660943
180,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0,-2.298449919390657
184,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0
186,40.0,40.0,40.0,40.0,-41.0104461155743
187,0.0,0.0,0.0,0.0,0.0
188,20.0,20.0,20.0,20.0,-20.0
189,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0
195,20.0,20.0,20.0,20.0,-20.0
196,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,-1.514030289531051
200,10.0,10.0,10.0,10.0,-10.0
201,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,-0.09841575665626379
204,0.0,0.0,0.0,0.0,-7.371709039909945
205,70.0,70.0,70.0,70.0,-70.0
206,0.0,0.0,0.0,0.0,-29.05052099594129
207,0.0,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0
209,50.0,50.0,50.0,50.0,-50.0
210,0.0,0.0,0.0,0.0,-0.16949094049712232
211,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,-1.7290333435729022
214,30.0,30.0,30.0,30.0,-30.84281136177883
215,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,-20.741006246641014
217,0.0,0.0,0.0,0.0,-8.971511348926713
218,0.0,0.0,0.0,0.0,-34.54013900045523
219,30.0,30.0,30.0,30.0,-30.0
220,0.0,0.0,0.0,0.0,-4.6410205402375935
221,0.0,0.0,0.0,0.0,-23.667531655618063
222,0.0,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0,-0.5090696504018211
224,10.0,10.0,10.0,10.0,-10.0
225,0.0,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0,-39.00591558004929
227,30.0,30.0,30.0,30.0,-31.280819786878872
228,30.0,30.0,30.0,30.0,-30.63915297525432
229,60.0,60.0,60.0,60.0,-60.0
230,10.0,10.0,10.0,10.0,-10.0
231,0.0,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0
234,60.0,60.0,60.0,60.0,-60.0
235,0.0,0.0,0.0,0.0,-29.686580638218853
236,0.0,0.0,0.0,0.0,-22.84391713517747
237,20.0,20.0,20.0,20.0,-20.0
238,0.0,0.0,0.0,0.0,-0.4830027114687807
239,40.0,40.0,40.0,40.0,-40.0
240,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0
243,20.0,20.0,20.0,20.0,-20.0
244,30.0,30.0,30.0,30.0,-30.845891064894005
245,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0
247,60.0,60.0,60.0,60.0,-60.0
248,50.0,50.0,50.0,50.0,-50.0
249,0.0,0.0,0.0,0.0,-0.14398778468025508
250,0.0,0.0,0.0,0.0,0.0
251,40.0,40.0,40.0,40.0,-40.39897530056311
252,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0,0.0
255,30.0,30.0,30.0,30.0,-30.0
256,0.0,0.0,0.0,0.0,0.0
257,20.0,20.0,20.0,20.0,-20.0
258,0.0,0.0,0.0,0.0,0.0
259,20.0,20.0,20.0,20.0,-20.0
260,40.0,40.0,40.0,40.0,-40.0
261,10.0,10.0,10.0,10.0,-10.68265270432142
262,0.0,0.0,0.0,0.0,-16.215421342558322
263,0.0,0.0,0.0,0.0,-86.27868217223734
264,0.0,0.0,0.0,0.0,-42.572365054204525
265,0.0,0.0,0.0,0.0,-0.1403166716056703
266,40.0,40.0,40.0,40.0,-40.0
267,0.0,0.0,0.0,0.0,0.0
268,10.0,10.0,10.0,10.0,-10.0
269,0.0,0.0,0.0,0.0,0.0
270,30.0,30.0,30.0,30.0,-37.343857021687356
271,40.0,40.0,40.0,40.0,-40.0
272,60.0,60.0,60.0,60.0,-64.06695762019643
273,0.0,0.0,0.0,0.0,-60.95787922300791
274,0.0,0.0,0.0,0.0,0.0
275,30.0,30.0,30.0,30.0,-30.0
276,30.0,30.0,30.0,30.0,-31.007764393777556
277,20.0,20.0,20.0,20.0,-20.30862420163992
278,20.0,20.0,20.0,20.0,-20.834294665924734
279,30.0,30.0,30.0,30.0,-30.0
280,0.0,0.0,0.0,0.0,0.0
281,20.0,20.0,20.0,20.0,-20.0
282,0.0,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0,-0.6385706870345176
285,30.0,30.0,30.0,30.0,-30.0
286,20.0,20.0,20.0,20.0,-20.0
287,40.0,40.0,40.0,40.0,-41.36994883174453
288,0.0,0.0,0.0,0.0,-0.05504805239458954
289,0.0,0.0,0.0,0.0,0.0
290,40.0,40.0,40.0,40.0,-40.0
291,0.0,0.0,0.0,0.0,-12.867703942708056
292,0.0,0.0,0.0,0.0,0.0
293,10.0,10.0,10.0,10.0,-10.0
294,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,-0.15023088924732364
296,0.0,0.0,0.0,0.0,0.0
297,30.0,30.0,30.0,30.0,-30.03922023183587
298,0.0,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0,-121.7695567432047
300,50.0,50.0,50.0,50.0,-50.0
301,20.0,20.0,20.0,20.0,-20.0
302,30.0,30.0,30.0,30.0,-30.0
303,0.0,0.0,0.0,0.0,-37.83353320369699
304,20.0,20.0,20.0,20.0,-20.0
305,40.0,40.0,40.0,40.0,-40.0
306,0.0,0.0,0.0,0.0,-14.598621677256425
307,30.0,30.0,30.0,30.0,-30.0
308,20.0,20.0,20.0,20.0,-20.0
309,50.0,50.0,50.0,50.0,-50.35718122832675
310,30.0,30.0,30.0,30.0,-86.58095533824935
311,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0
313,30.0,30.0,30.0,30.0,-30.0
314,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0,-31.07931301012047
317,0.0,0.0,0.0,0.0,-47.54937834623216
318,0.0,0.0,0.0,0.0,0.0
319,40.0,40.0,40.0,40.0,-41.25486315203907
320,0.0,0.0,0.0,0.0,-57.645336002713044
321,0.0,0.0,0.0,0.0,-31.12181547546576
322,0.0,0.0,0.0,0.0,0.0
323,0.0,0.0,0.0,0.0,0.0
324,0.0,0.0,0.0,0.0,0.0
325,20.0,20.0,20.0,20.0,-31.742655689635313
326,20.0,20.0,20.0,20.0,-35.21928428586972
327,0.0,0.0,0.0,0.0,-1.5972286906795363
328,0.0,0.0,0.0,0.0,-0.01928504324116953
329,0.0,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0,-38.277431106055616
331,0.0,0.0,0.0,0.0,-7.187468244262732
332,0.0,0.0,0.0,0.0,-0.6535656019957603
333,0.0,0.0,0.0,0.0,-60.42101401722355
334,0.0,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0,0.0
338,0.0,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0,-3.175415558669089
340,0.0,0.0,0.0,0.0,0.0
341,0.0,0.0,0.0,0.0,-56.95481180364862
342,0.0,0.0,0.0,0.0,-0.0759170823107469
343,0.0,0.0,0.0,0.0,0.0
344,30.0,30.0,30.0,30.0,-30.0
345,20.0,20.0,20.0,20.0,-28.451604943597054
346,0.0,0.0,0.0,0.0,-15.99909829705865
347,0.0,0.0,0.0,0.0,-7.695149444731096
348,10.0,10.0,10.0,10.0,-27.90529075052577
349,0.0,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0,0.0
351,10.0,10.0,10.0,10.0,-10.000613603167835
352,0.0,0.0,0.0,0.0,0.0
353,0.0,0.0,0.0,0.0,-9.762968102931147
354,20.0,20.0,20.0,20.0,-20.0
355,0.0,0.0,0.0,0.0,-11.181707986637837
356,20.0,20.0,20.0,20.0,-20.0
357,0.0,0.0,0.0,0.0,0.0
358,30.0,30.0,30.0,30.0,-30.0
359,0.0,0.0,0.0,0.0,0.0
360,30.0,30.0,30.0,30.0,-30.0
361,0.0,0.0,0.0,0.0,-2.9113743419961278
362,10.0,10.0,10.0,10.0,-24.576961021809897
363,0.0,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0,-20.528688394140314
367,0.0,0.0,0.0,0.0,-17.331084847312276
368,0.0,0.0,0.0,0.0,0.0
369,0.0,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0,0.0
372,0.0,0.0,0.0,0.0,-1.1345330127155395
373,30.0,30.0,30.0,30.0,-30.0
374,0.0,0.0,0.0,0.0,-15.398781373112946
375,50.0,50.0,50.0,50.0,-52.68085886220515
376,0.0,0.0,0.0,0.0,-0.5260662869598309
377,0.0,0.0,0.0,0.0,0.0
378,20.0,20.0,20.0,20.0,-26.90287106311842
379,0.0,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0,-24.56832005067338
381,0.0,0.0,0.0,0.0,-3.309097060253915
382,0.0,0.0,0.0,0.0,-5.762725459523021
383,0.0,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0,-4.6664866526682856
385,0.0,0.0,0.0,0.0,-0.35482095190773166
386,50.0,50.0,50.0,50.0,-50.95367645374856
387,0.0,0.0,0.0,0.0,-1.1703981667106755
388,20.0,20.0,20.0,20.0,-25.110458612988282
389,0.0,0.0,0.0,0.0,-3.188287102551284
390,0.0,0.0,0.0,0.0,-5.971741016208211
391,0.0,0.0,0.0,0.0,-4.647411309926953
392,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0
394,30.0,30.0,30.0,30.0,-32.29631833632829
395,20.0,20.0,20.0,20.0,-20.0
396,0.0,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0,-6.775974531736321
398,20.0,20.0,20.0,20.0,-35.133622707977516
399,0.0,0.0,0.0,0.0,-1.8041518369859182
400,0.0,0.0,0.0,0.0,-8.280976605187346
401,20.0,20.0,20.0,20.0,-20.015183365180548
402,0.0,0.0,0.0,0.0,-55.054810512005375
403,0.0,0.0,0.0,0.0,-16.51043934305011
404,30.0,30.0,30.0,30.0,-30.0
405,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0
407,10.0,10.0,10.0,10.0,-10.0
408,0.0,0.0,0.0,0.0,0.0
409,0.0,0.0,0.0,0.0,0.0
410,0.0,0.0,0.0,0.0,-74.23005840192504
411,0.0,0.0,0.0,0.0,-1.59143259243958
412,0.0,0.0,0.0,0.0,0.0
413,0.0,0.0,0.0,0.0,-0.8427834397932199
414,0.0,0.0,0.0,0.0,0.0
415,30.0,30.0,30.0,30.0,-30.0
416,0.0,0.0,0.0,0.0,-5.42115893578847
417,0.0,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,-35.347602703222144
419,10.0,10.0,10.0,10.0,-10.0
420,0.0,0.0,0.0,0.0,-0.17644471737101042
421,0.0,0.0,0.0,0.0,-25.175973815864648
422,30.0,30.0,30.0,30.0,-30.0
423,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,-29.699416255197157
425,0.0,0.0,0.0,0.0,-15.466491927963464
426,0.0,0.0,0.0,0.0,-8.083680987930926
427,0.0,0.0,0.0,0.0,-1.5541911679379516
428,10.0,10.0,10.0,10.0,-12.294243087617492
429,0.0,0.0,0.0,0.0,-1.3557020791202157
430,0.0,0.0,0.0,0.0,0.0
431,0.0,0.0,0.0,0.0,-0.3944398921837611
432,0.0,0.0,0.0,0.0,0.0
433,0.0,0.0,0.0,0.0,-0.922254776016882
434,60.0,60.0,60.0,60.0,-60.0
435,0.0,0.0,0.0,0.0,-0.5079913394702507
436,30.0,30.0,30.0,30.0,-31.084648721596565
437,0.0,0.0,0.0,0.0,0.0
438,10.0,10.0,10.0,10.0,-10.0
439,10.0,10.0,10.0,10.0,-10.074950245705876
440,20.0,20.0,20.0,20.0,-20.0
441,0.0,0.0,0.0,0.0,0.0
442,0.0,0.0,0.0,0.0,0.0
443,10.0,10.0,10.0,10.0,-10.504268356024877
444,10.0,10.0,10.0,10.0,-10.0
445,20.0,20.0,20.0,20.0,-20.0
446,30.0,30.0,30.0,30.0,-30.0
447,0.0,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0
451,10.0,10.0,10.0,10.0,-10.0
452,30.0,30.0,30.0,30.0,-30.0
453,0.0,0.0,0.0,0.0,0.0
454,0.0,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0,0.0
456,80.0,80.0,80.0,80.0,-80.0
457,0.0,0.0,0.0,0.0,0.0
458,50.0,50.0,50.0,50.0,-50.0
459,0.0,0.0,0.0,0.0,0.0
460,0.0,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0,0.0
462,60.0,60.0,60.0,60.0,-62.98400072352129
463,0.0,0.0,0.0,0.0,0.0
464,0.0,0.0,0.0,0.0,-0.8188053362450032
465,40.0,40.0,40.0,40.0,-40.0
466,0.0,0.0,0.0,0.0,0.0
467,0.0,0.0,0.0,0.0,-31.11304175332678
468,0.0,0.0,0.0,0.0,0.0
469,0.0,0.0,0.0,0.0,0.0
470,10.0,10.0,10.0,10.0,-10.0
471,20.0,20.0,20.0,20.0,-20.0
472,60.0,60.0,60.0,60.0,-60.0
473,0.0,0.0,0.0,0.0,0.0
474,10.0,10.0,10.0,10.0,-10.0
475,0.0,0.0,0.0,0.0,0.0
476,20.0,20.0,20.0,20.0,-20.0
477,0.0,0.0,0.0,0.0,0.0
478,20.0,20.0,20.0,20.0,-20.134469790246875
479,30.0,30.0,30.0,30.0,-30.523379196988188
480,0.0,0.0,0.0,0.0,-0.046031723810197045
481,20.0,20.0,20.0,20.0,-20.0
482,40.0,40.0,40.0,40.0,-40.701781115870816
483,0.0,0.0,0.0,0.0,0.0
484,0.0,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0,0.0
486,50.0,50.0,50.0,50.0,-50.0
487,30.0,30.0,30.0,30.0,-30.0
488,0.0,0.0,0.0,0.0,-10.700264179099024
489,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0,0.0
492,0.0,0.0,0.0,0.0,-0.5306780808438161
493,20.0,20.0,20.0,20.0,-20.0
494,30.0,30.0,30.0,30.0,-30.0
495,0.0,0.0,0.0,0.0,-1.7178335904120523
496,40.0,40.0,40.0,40.0,-40.0
497,0.0,0.0,0.0,0.0,-6.932390898013964
498,10.0,10.0,10.0,10.0,-10.0
499,0.0,0.0,0.0,0.0,-6.924787210239115
500,0.0,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0,0.0
502,30.0,30.0,30.0,30.0,-36.23803977918638
503,0.0,0.0,0.0,0.0,-0.8362446360710596
504,70.0,70.0,70.0,70.0,-70.0
505,10.0,10.0,10.0,10.0,-10.0
506,0.0,0.0,0.0,0.0,0.0
507,0.0,0.0,0.0,0.0,-1.7196047751543153
508,0.0,0.0,0.0,0.0,0.0
509,10.0,10.0,10.0,10.0,-18.818693107457136
510,0.0,0.0,0.0,0.0,-12.825461464132601
511,0.0,0.0,0.0,0.0,0.0
512,0.0,0.0,0.0,0.0,-6.331506768847529
513,10.0,10.0,10.0,10.0,-10.354027066045452
514,0.0,0.0,0.0,0.0,-7.722592346282558
515,10.0,10.0,10.0,10.0,-10.0
516,10.0,10.0,10.0,10.0,-21.519225621272618
517,0.0,0.0,0.0,0.0,0.0
518,60.0,60.0,60.0,60.0,-60.0
519,0.0,0.0,0.0,0.0,-5.486407965578462
520,10.0,10.0,10.0,10.0,-11.180121885544452
521,0.0,0.0,0.0,0.0,-1.5202497292707873
522,20.0,20.0,20.0,20.0,-28.568462442105215
523,0.0,0.0,0.0,0.0,0.0
524,20.0,20.0,20.0,20.0,-20.0
525,20.0,20.0,20.0,20.0,-26.628985990566733
526,20.0,20.0,20.0,20.0,-20.0
527,0.0,0.0,0.0,0.0,-0.9691956115475242
528,0.0,0.0,0.0,0.0,0.0
529,0.0,0.0,0.0,0.0,0.0
530,0.0,0.0,0.0,0.0,-4.382674786419946
531,0.0,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,0.0,0.0
533,30.0,30.0,30.0,30.0,-30.0
534,0.0,0.0,0.0,0.0,-2.3699710270734116
535,0.0,0.0,0.0,0.0,-12.681445122581648
536,30.0,30.0,30.0,30.0,-34.92865376078893
537,10.0,10.0,10.0,10.0,-10.932492349828577
538,0.0,0.0,0.0,0.0,-8.235473118770894
539,30.0,30.0,30.0,30.0,-30.0
540,0.0,0.0,0.0,0.0,0.0
541,10.0,10.0,10.0,10.0,-10.0
542,70.0,70.0,70.0,70.0,-70.0
543,0.0,0.0,0.0,0.0,-0.4517525167325931
544,0.0,0.0,0.0,0.0,0.0
