episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,-27.75186035616069
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,-11.549389343865343
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,30.0,30.0,30.0,30.0,-30.0
8,0.0,0.0,0.0,0.0,-1.2718428535533888
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,-4.81987643136796
11,0.0,0.0,0.0,0.0,-29.65345135348254
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,-0.45032707073462297
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,-0.4361530038614614
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,-0.21588384124844984
19,0.0,0.0,0.0,0.0,-6.671420514209776
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,-30.34527444047016
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,-26.075366694789253
27,0.0,0.0,0.0,0.0,-26.24489955360365
28,30.0,30.0,30.0,30.0,-30.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,-1.954349462771594
31,0.0,0.0,0.0,0.0,-0.3374615080302723
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,-18.786973098101726
35,0.0,0.0,0.0,0.0,-15.40962226640807
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,-13.6963648741326
40,0.0,0.0,0.0,0.0,-24.413538045278038
41,0.0,0.0,0.0,0.0,-52.22440622033029
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,-7.26390621373172
46,0.0,0.0,0.0,0.0,-53.84891067610626
47,0.0,0.0,0.0,0.0,-34.926164325553174
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,-6.893561650722027
51,0.0,0.0,0.0,0.0,-2.5205042722398376
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,60.0,60.0,60.0,60.0,-60.0
57,0.0,0.0,0.0,0.0,-9.847668671747616
58,0.0,0.0,0.0,0.0,-35.23234925986685
59,0.0,0.0,0.0,0.0,-1.4350552707838304
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,-6.686033237379638
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,-2.4897758680818702
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,-27.380554280437302
66,0.0,0.0,0.0,0.0,-23.32366696017148
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,-31.95288269793376
73,0.0,0.0,0.0,0.0,-41.52514548914391
74,0.0,0.0,0.0,0.0,0.0
75,30.0,30.0,30.0,30.0,-48.87024630517522
76,0.0,0.0,0.0,0.0,-138.85345034142136
77,0.0,0.0,0.0,0.0,-8.238683982061444
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,-0.7346262147717664
80,0.0,0.0,0.0,0.0,-39.29977813036995
81,0.0,0.0,0.0,0.0,-166.2045217172355
82,0.0,0.0,0.0,0.0,-67.79140441379734
83,40.0,40.0,40.0,40.0,-54.43882333477389
84,0.0,0.0,0.0,0.0,-9.53194012060771
85,30.0,30.0,30.0,30.0,-63.74031161672186
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,-86.26092740511466
88,0.0,0.0,0.0,0.0,-57.11066378645059
89,0.0,0.0,0.0,0.0,0.0
90,20.0,20.0,20.0,20.0,-28.590352609023093
91,0.0,0.0,0.0,0.0,-12.718463709924851
92,0.0,0.0,0.0,0.0,-5.299718567207475
93,30.0,30.0,30.0,30.0,-30.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,-37.45280478058219
96,30.0,30.0,30.0,30.0,-45.14175328976015
97,0.0,0.0,0.0,0.0,-8.822792553516111
98,0.0,0.0,0.0,0.0,-40.03595917454009
99,10.0,10.0,10.0,10.0,-11.62196474099698
100,0.0,0.0,0.0,0.0,-17.96286761208194
101,0.0,0.0,0.0,0.0,0.0
102,20.0,20.0,20.0,20.0,-41.18928695125675
103,10.0,10.0,10.0,10.0,-29.81627478976377
104,30.0,30.0,30.0,30.0,-50.69751480886987
105,30.0,30.0,30.0,30.0,-30.0
106,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,-4.634421531239264
108,0.0,0.0,0.0,0.0,-4.111695974352151
109,0.0,0.0,0.0,0.0,-10.410654367204009
110,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,-9.651398605554586
112,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,-31.438447247796347
114,30.0,30.0,30.0,30.0,-40.178893971523
115,0.0,0.0,0.0,0.0,-11.160540353126283
116,0.0,0.0,0.0,0.0,-4.18816338143281
117,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,-3.5511177123031046
119,40.0,40.0,40.0,40.0,-40.0
120,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,-1.0177399238024476
122,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0
124,30.0,30.0,30.0,30.0,-33.48905329093853
125,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,-2.252892075931764
127,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,-0.13825521607728208
132,20.0,20.0,20.0,20.0,-20.0
133,0.0,0.0,0.0,0.0,0.0
134,40.0,40.0,40.0,40.0,-40.0
135,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,-1.527021771503384
137,0.0,0.0,0.0,0.0,-22.534345738486667
138,0.0,0.0,0.0,0.0,0.0
139,30.0,30.0,30.0,30.0,-30.0
140,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,-0.3782751868821288
142,20.0,20.0,20.0,20.0,-20.0
143,0.0,0.0,0.0,0.0,-0.39823331741693724
144,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,-3.3090867106192263
146,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0
148,30.0,30.0,30.0,30.0,-31.931368171289478
149,10.0,10.0,10.0,10.0,-10.0
150,30.0,30.0,30.0,30.0,-30.179291082956148
151,10.0,10.0,10.0,10.0,-10.0
152,10.0,10.0,10.0,10.0,-10.0
153,20.0,20.0,20.0,20.0,-20.0
154,10.0,10.0,10.0,10.0,-10.564245054891039
155,20.0,20.0,20.0,20.0,-20.0
156,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,-85.48693603595883
159,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0
161,10.0,10.0,10.0,10.0,-10.577122875276807
162,0.0,0.0,0.0,0.0,-57.19532653095065
163,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,-61.532640822114736
165,30.0,30.0,30.0,30.0,-30.0
166,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0
168,20.0,20.0,20.0,20.0,-32.484278555369286
169,0.0,0.0,0.0,0.0,0.0
