episode,adversary_reward_mean,adversary_0,adversary_1,adversary_2,agent_0
1,0.0,0.0,0.0,0.0,-20.765358601757953
2,0.0,0.0,0.0,0.0,-1.11880757207526
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,-36.648939162422906
5,0.0,0.0,0.0,0.0,-9.606865356563613
6,30.0,30.0,30.0,30.0,-30.0
7,0.0,0.0,0.0,0.0,-11.201112405885521
8,0.0,0.0,0.0,0.0,-30.98551354413254
9,0.0,0.0,0.0,0.0,-10.8920499308287
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,-8.665154442355151
13,0.0,0.0,0.0,0.0,-1.898013763657198
14,0.0,0.0,0.0,0.0,-9.28459626189635
15,0.0,0.0,0.0,0.0,-35.747089551337744
16,30.0,30.0,30.0,30.0,-30.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,-13.636984323370848
20,0.0,0.0,0.0,0.0,-8.276086049909546
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,-33.7877399992498
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,-52.572750811590794
29,0.0,0.0,0.0,0.0,0.0
30,30.0,30.0,30.0,30.0,-32.47747422770122
31,0.0,0.0,0.0,0.0,-36.30912061075868
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,-32.98735234957695
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,-19.54555453137071
36,0.0,0.0,0.0,0.0,-0.2120189664498584
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,10.0,10.0,10.0,10.0,-10.0
40,20.0,20.0,20.0,20.0,-24.652283524543737
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,-15.609618099043454
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,-26.936876212630377
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,30.0,30.0,30.0,30.0,-30.229964855890383
48,0.0,0.0,0.0,0.0,-17.370794732304866
49,0.0,0.0,0.0,0.0,-90.26023921997233
50,0.0,0.0,0.0,0.0,-1.956710512165577
51,0.0,0.0,0.0,0.0,-0.51379983245048
52,0.0,0.0,0.0,0.0,-2.308199129206691
53,0.0,0.0,0.0,0.0,-16.311995505767083
54,20.0,20.0,20.0,20.0,-30.253872179692237
55,0.0,0.0,0.0,0.0,-134.2833612673311
56,0.0,0.0,0.0,0.0,-43.458397093611275
57,0.0,0.0,0.0,0.0,-104.56625252425425
58,0.0,0.0,0.0,0.0,-200.18527221068803
59,0.0,0.0,0.0,0.0,-115.92940142756925
60,0.0,0.0,0.0,0.0,-226.3400134867552
61,0.0,0.0,0.0,0.0,-3.1107530255145726
62,0.0,0.0,0.0,0.0,-39.89965854288339
63,0.0,0.0,0.0,0.0,-8.001460227095059
64,0.0,0.0,0.0,0.0,-116.55037453106554
65,0.0,0.0,0.0,0.0,-232.0875617837093
66,0.0,0.0,0.0,0.0,-59.704017428607855
67,0.0,0.0,0.0,0.0,-15.571441790874228
68,0.0,0.0,0.0,0.0,-62.3453983471953
69,0.0,0.0,0.0,0.0,-14.489641669081038
70,40.0,40.0,40.0,40.0,-41.23810715490843
71,0.0,0.0,0.0,0.0,-30.920971243837972
72,0.0,0.0,0.0,0.0,-37.060009247941906
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,-0.5871615781931105
76,0.0,0.0,0.0,0.0,-12.17233950627121
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,-3.9775822698509042
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,-15.62658305508955
81,10.0,10.0,10.0,10.0,-10.0
82,20.0,20.0,20.0,20.0,-20.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,30.0,30.0,30.0,30.0,-30.0
88,0.0,0.0,0.0,0.0,-205.09259104893982
89,0.0,0.0,0.0,0.0,-4.960411835213992
90,0.0,0.0,0.0,0.0,-29.157922136556227
91,0.0,0.0,0.0,0.0,-3.093806085726108
92,0.0,0.0,0.0,0.0,-45.235287916503644
93,20.0,20.0,20.0,20.0,-27.09543029318003
94,0.0,0.0,0.0,0.0,0.0
95,20.0,20.0,20.0,20.0,-20.0
96,10.0,10.0,10.0,10.0,-50.465452796149535
97,10.0,10.0,10.0,10.0,-10.958345963725405
98,0.0,0.0,0.0,0.0,-92.06280594906036
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,-0.7142455656943347
101,0.0,0.0,0.0,0.0,-123.09587686795784
102,0.0,0.0,0.0,0.0,-109.04758209327034
103,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,-117.79613380937585
