– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-iddpg_01.log slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81

Job started: Thu Jun 18 10:42:15 PM UTC 2026
Host: gpunode09.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:15 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (Independent DDPG)...
Ep 00500/60000 | Noise: 0.30 | Avg Rewards: [adversary_0: 5.66, adversary_1: 5.66, adversary_2: 5.66, agent_0: -17.04]
Ep 01000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 9.10, adversary_1: 9.10, adversary_2: 9.10, agent_0: -13.63]
Ep 01500/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 6.06, adversary_1: 6.06, adversary_2: 6.06, agent_0: -8.53]
Ep 02000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 6.48, adversary_1: 6.48, adversary_2: 6.48, agent_0: -8.23]
Ep 02500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 5.78, adversary_1: 5.78, adversary_2: 5.78, agent_0: -7.36]
Ep 03000/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 6.30, adversary_1: 6.30, adversary_2: 6.30, agent_0: -7.83]
Ep 03500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 5.58, adversary_1: 5.58, adversary_2: 5.58, agent_0: -7.54]
Ep 04000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 5.60, adversary_1: 5.60, adversary_2: 5.60, agent_0: -6.66]
Ep 04500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 5.08, adversary_1: 5.08, adversary_2: 5.08, agent_0: -6.57]
Ep 05000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 6.64, adversary_1: 6.64, adversary_2: 6.64, agent_0: -7.85]
Ep 05500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 5.10, adversary_1: 5.10, adversary_2: 5.10, agent_0: -6.61]
Ep 06000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 5.92, adversary_1: 5.92, adversary_2: 5.92, agent_0: -7.17]
Ep 06500/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 6.44, adversary_1: 6.44, adversary_2: 6.44, agent_0: -8.10]
Ep 07000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 4.62, adversary_1: 4.62, adversary_2: 4.62, agent_0: -6.25]
Ep 07500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 5.06, adversary_1: 5.06, adversary_2: 5.06, agent_0: -6.17]
Ep 08000/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 5.54, adversary_1: 5.54, adversary_2: 5.54, agent_0: -6.70]
Ep 08500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 5.08, adversary_1: 5.08, adversary_2: 5.08, agent_0: -6.85]
Ep 09000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 5.12, adversary_1: 5.12, adversary_2: 5.12, agent_0: -6.83]
Ep 09500/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 5.36, adversary_1: 5.36, adversary_2: 5.36, agent_0: -6.45]
Ep 10000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 6.04, adversary_1: 6.04, adversary_2: 6.04, agent_0: -6.92]
