– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-iddpg_01.log slurm-out-iddpg_fast.log slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81

Job started: Thu Jun 18 10:42:21 PM UTC 2026
Host: gpunode01.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:21 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (Independent DDPG) - FAST MODE...
Ep 00500/60000 | Noise: 0.30 | Avg Rewards: [adversary_0: 7.40, adversary_1: 7.40, adversary_2: 7.40, agent_0: -14.42]
Ep 01000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 8.68, adversary_1: 8.68, adversary_2: 8.68, agent_0: -10.99]
Ep 01500/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 8.54, adversary_1: 8.54, adversary_2: 8.54, agent_0: -10.26]
Ep 02000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 11.28, adversary_1: 11.28, adversary_2: 11.28, agent_0: -12.03]
Ep 02500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 16.56, adversary_1: 16.56, adversary_2: 16.56, agent_0: -17.63]
Ep 03000/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 23.22, adversary_1: 23.22, adversary_2: 23.22, agent_0: -24.71]
Ep 03500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 21.68, adversary_1: 21.68, adversary_2: 21.68, agent_0: -24.21]
Ep 04000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 26.14, adversary_1: 26.14, adversary_2: 26.14, agent_0: -28.01]
Ep 04500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 28.50, adversary_1: 28.50, adversary_2: 28.50, agent_0: -30.11]
Ep 05000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 31.04, adversary_1: 31.04, adversary_2: 31.04, agent_0: -34.08]
Ep 05500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 29.64, adversary_1: 29.64, adversary_2: 29.64, agent_0: -34.19]
Ep 06000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 26.00, adversary_1: 26.00, adversary_2: 26.00, agent_0: -31.45]
Ep 06500/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 24.66, adversary_1: 24.66, adversary_2: 24.66, agent_0: -30.55]
Ep 07000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 24.62, adversary_1: 24.62, adversary_2: 24.62, agent_0: -32.15]
Ep 07500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 25.30, adversary_1: 25.30, adversary_2: 25.30, agent_0: -30.83]
Ep 08000/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 22.18, adversary_1: 22.18, adversary_2: 22.18, agent_0: -26.71]
Ep 08500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 18.82, adversary_1: 18.82, adversary_2: 18.82, agent_0: -24.67]
Ep 09000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 21.32, adversary_1: 21.32, adversary_2: 21.32, agent_0: -27.61]
Ep 09500/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 19.08, adversary_1: 19.08, adversary_2: 19.08, agent_0: -24.01]
Ep 10000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 18.02, adversary_1: 18.02, adversary_2: 18.02, agent_0: -22.86]
Ep 10500/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 18.22, adversary_1: 18.22, adversary_2: 18.22, agent_0: -26.09]
Ep 11000/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 16.70, adversary_1: 16.70, adversary_2: 16.70, agent_0: -25.80]
Ep 11500/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 18.88, adversary_1: 18.88, adversary_2: 18.88, agent_0: -23.86]
Ep 12000/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 19.12, adversary_1: 19.12, adversary_2: 19.12, agent_0: -23.28]
Ep 12500/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 17.88, adversary_1: 17.88, adversary_2: 17.88, agent_0: -22.35]
Ep 13000/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 19.82, adversary_1: 19.82, adversary_2: 19.82, agent_0: -25.32]
Ep 13500/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 17.98, adversary_1: 17.98, adversary_2: 17.98, agent_0: -23.80]
Ep 14000/60000 | Noise: 0.21 | Avg Rewards: [adversary_0: 21.08, adversary_1: 21.08, adversary_2: 21.08, agent_0: -25.98]
Ep 14500/60000 | Noise: 0.21 | Avg Rewards: [adversary_0: 18.30, adversary_1: 18.30, adversary_2: 18.30, agent_0: -24.01]
Ep 15000/60000 | Noise: 0.21 | Avg Rewards: [adversary_0: 18.90, adversary_1: 18.90, adversary_2: 18.90, agent_0: -24.60]
Ep 15500/60000 | Noise: 0.20 | Avg Rewards: [adversary_0: 20.40, adversary_1: 20.40, adversary_2: 20.40, agent_0: -25.90]
Ep 16000/60000 | Noise: 0.20 | Avg Rewards: [adversary_0: 21.74, adversary_1: 21.74, adversary_2: 21.74, agent_0: -28.04]
Ep 16500/60000 | Noise: 0.20 | Avg Rewards: [adversary_0: 21.08, adversary_1: 21.08, adversary_2: 21.08, agent_0: -28.10]
Ep 17000/60000 | Noise: 0.19 | Avg Rewards: [adversary_0: 21.84, adversary_1: 21.84, adversary_2: 21.84, agent_0: -29.06]
Ep 17500/60000 | Noise: 0.19 | Avg Rewards: [adversary_0: 19.76, adversary_1: 19.76, adversary_2: 19.76, agent_0: -25.86]
Ep 18000/60000 | Noise: 0.19 | Avg Rewards: [adversary_0: 20.36, adversary_1: 20.36, adversary_2: 20.36, agent_0: -26.08]
Ep 18500/60000 | Noise: 0.18 | Avg Rewards: [adversary_0: 19.80, adversary_1: 19.80, adversary_2: 19.80, agent_0: -26.48]
Ep 19000/60000 | Noise: 0.18 | Avg Rewards: [adversary_0: 21.78, adversary_1: 21.78, adversary_2: 21.78, agent_0: -28.42]
Ep 19500/60000 | Noise: 0.18 | Avg Rewards: [adversary_0: 21.92, adversary_1: 21.92, adversary_2: 21.92, agent_0: -30.71]
