– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-maddpg_01.log src 81

Job started: Thu Jun 18 10:42:01 PM UTC 2026
Host: gpunode10.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:01 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (MADDPG)...
Ep 00500/60000 | Noise: 0.30 | Avg Rewards: [adversary_0: 4.86, adversary_1: 4.86, adversary_2: 4.86, agent_0: -30.45]
Ep 01000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 8.66, adversary_1: 8.66, adversary_2: 8.66, agent_0: -14.05]
Ep 01500/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 10.28, adversary_1: 10.28, adversary_2: 10.28, agent_0: -12.40]
Ep 02000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 10.04, adversary_1: 10.04, adversary_2: 10.04, agent_0: -13.15]
Ep 02500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 10.04, adversary_1: 10.04, adversary_2: 10.04, agent_0: -12.95]
Ep 03000/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 9.04, adversary_1: 9.04, adversary_2: 9.04, agent_0: -11.52]
Ep 03500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 9.90, adversary_1: 9.90, adversary_2: 9.90, agent_0: -12.46]
Ep 04000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 13.90, adversary_1: 13.90, adversary_2: 13.90, agent_0: -20.00]
Ep 04500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 12.70, adversary_1: 12.70, adversary_2: 12.70, agent_0: -19.45]
Ep 05000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 14.82, adversary_1: 14.82, adversary_2: 14.82, agent_0: -21.93]
Ep 05500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 16.88, adversary_1: 16.88, adversary_2: 16.88, agent_0: -23.47]
Ep 06000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 25.38, adversary_1: 25.38, adversary_2: 25.38, agent_0: -31.56]
Ep 06500/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 24.46, adversary_1: 24.46, adversary_2: 24.46, agent_0: -34.06]
Ep 07000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 22.56, adversary_1: 22.56, adversary_2: 22.56, agent_0: -33.65]
Ep 07500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 15.24, adversary_1: 15.24, adversary_2: 15.24, agent_0: -23.60]
Ep 08000/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 12.60, adversary_1: 12.60, adversary_2: 12.60, agent_0: -22.05]
Ep 08500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 10.98, adversary_1: 10.98, adversary_2: 10.98, agent_0: -21.59]
Ep 09000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 11.32, adversary_1: 11.32, adversary_2: 11.32, agent_0: -22.27]
Ep 09500/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 10.32, adversary_1: 10.32, adversary_2: 10.32, agent_0: -18.41]
Ep 10000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 14.50, adversary_1: 14.50, adversary_2: 14.50, agent_0: -21.07]
Ep 10500/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 17.78, adversary_1: 17.78, adversary_2: 17.78, agent_0: -24.81]
Ep 11000/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 22.32, adversary_1: 22.32, adversary_2: 22.32, agent_0: -27.56]
Ep 11500/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 20.84, adversary_1: 20.84, adversary_2: 20.84, agent_0: -26.00]
