– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81

Job started: Thu Jun 18 10:42:05 PM UTC 2026
Host: gpunode11.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:05 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (MADDPG) - FAST MODE...
Ep 00500/60000 | Noise: 0.30 | Avg Rewards: [adversary_0: 3.26, adversary_1: 3.26, adversary_2: 3.26, agent_0: -27.59]
Ep 01000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 5.80, adversary_1: 5.80, adversary_2: 5.80, agent_0: -8.12]
Ep 01500/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 10.22, adversary_1: 10.22, adversary_2: 10.22, agent_0: -15.16]
Ep 02000/60000 | Noise: 0.29 | Avg Rewards: [adversary_0: 14.80, adversary_1: 14.80, adversary_2: 14.80, agent_0: -18.80]
Ep 02500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 11.76, adversary_1: 11.76, adversary_2: 11.76, agent_0: -13.15]
Ep 03000/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 11.56, adversary_1: 11.56, adversary_2: 11.56, agent_0: -16.27]
Ep 03500/60000 | Noise: 0.28 | Avg Rewards: [adversary_0: 14.04, adversary_1: 14.04, adversary_2: 14.04, agent_0: -17.60]
Ep 04000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 12.24, adversary_1: 12.24, adversary_2: 12.24, agent_0: -16.16]
Ep 04500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 14.90, adversary_1: 14.90, adversary_2: 14.90, agent_0: -20.19]
Ep 05000/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 15.20, adversary_1: 15.20, adversary_2: 15.20, agent_0: -18.54]
Ep 05500/60000 | Noise: 0.27 | Avg Rewards: [adversary_0: 14.28, adversary_1: 14.28, adversary_2: 14.28, agent_0: -16.97]
Ep 06000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 17.78, adversary_1: 17.78, adversary_2: 17.78, agent_0: -22.38]
Ep 06500/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 15.10, adversary_1: 15.10, adversary_2: 15.10, agent_0: -21.55]
Ep 07000/60000 | Noise: 0.26 | Avg Rewards: [adversary_0: 19.66, adversary_1: 19.66, adversary_2: 19.66, agent_0: -26.05]
Ep 07500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 21.30, adversary_1: 21.30, adversary_2: 21.30, agent_0: -28.11]
Ep 08000/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 21.62, adversary_1: 21.62, adversary_2: 21.62, agent_0: -28.93]
Ep 08500/60000 | Noise: 0.25 | Avg Rewards: [adversary_0: 21.98, adversary_1: 21.98, adversary_2: 21.98, agent_0: -30.92]
Ep 09000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 17.10, adversary_1: 17.10, adversary_2: 17.10, agent_0: -27.09]
Ep 09500/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 20.52, adversary_1: 20.52, adversary_2: 20.52, agent_0: -28.48]
Ep 10000/60000 | Noise: 0.24 | Avg Rewards: [adversary_0: 22.12, adversary_1: 22.12, adversary_2: 22.12, agent_0: -29.23]
Ep 10500/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 14.20, adversary_1: 14.20, adversary_2: 14.20, agent_0: -21.89]
Ep 11000/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 14.14, adversary_1: 14.14, adversary_2: 14.14, agent_0: -27.68]
Ep 11500/60000 | Noise: 0.23 | Avg Rewards: [adversary_0: 15.70, adversary_1: 15.70, adversary_2: 15.70, agent_0: -23.38]
Ep 12000/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 16.42, adversary_1: 16.42, adversary_2: 16.42, agent_0: -24.32]
Ep 12500/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 16.50, adversary_1: 16.50, adversary_2: 16.50, agent_0: -25.27]
Ep 13000/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 19.52, adversary_1: 19.52, adversary_2: 19.52, agent_0: -27.40]
Ep 13500/60000 | Noise: 0.22 | Avg Rewards: [adversary_0: 16.90, adversary_1: 16.90, adversary_2: 16.90, agent_0: -27.45]
Ep 14000/60000 | Noise: 0.21 | Avg Rewards: [adversary_0: 18.54, adversary_1: 18.54, adversary_2: 18.54, agent_0: -26.75]
Ep 14500/60000 | Noise: 0.21 | Avg Rewards: [adversary_0: 17.74, adversary_1: 17.74, adversary_2: 17.74, agent_0: -26.43]
Ep 15000/60000 | Noise: 0.21 | Avg Rewards: [adversary_0: 19.98, adversary_1: 19.98, adversary_2: 19.98, agent_0: -27.39]
Ep 15500/60000 | Noise: 0.20 | Avg Rewards: [adversary_0: 24.80, adversary_1: 24.80, adversary_2: 24.80, agent_0: -32.94]
Ep 16000/60000 | Noise: 0.20 | Avg Rewards: [adversary_0: 22.36, adversary_1: 22.36, adversary_2: 22.36, agent_0: -31.03]
Ep 16500/60000 | Noise: 0.20 | Avg Rewards: [adversary_0: 25.78, adversary_1: 25.78, adversary_2: 25.78, agent_0: -33.14]
Ep 17000/60000 | Noise: 0.19 | Avg Rewards: [adversary_0: 25.14, adversary_1: 25.14, adversary_2: 25.14, agent_0: -34.30]
Ep 17500/60000 | Noise: 0.19 | Avg Rewards: [adversary_0: 26.14, adversary_1: 26.14, adversary_2: 26.14, agent_0: -32.92]
Ep 18000/60000 | Noise: 0.19 | Avg Rewards: [adversary_0: 26.98, adversary_1: 26.98, adversary_2: 26.98, agent_0: -32.12]
Ep 18500/60000 | Noise: 0.18 | Avg Rewards: [adversary_0: 22.66, adversary_1: 22.66, adversary_2: 22.66, agent_0: -27.83]
Ep 19000/60000 | Noise: 0.18 | Avg Rewards: [adversary_0: 21.16, adversary_1: 21.16, adversary_2: 21.16, agent_0: -28.69]
Ep 19500/60000 | Noise: 0.18 | Avg Rewards: [adversary_0: 18.70, adversary_1: 18.70, adversary_2: 18.70, agent_0: -30.77]
Ep 20000/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 17.86, adversary_1: 17.86, adversary_2: 17.86, agent_0: -23.53]
Ep 20500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 16.38, adversary_1: 16.38, adversary_2: 16.38, agent_0: -21.26]
Ep 21000/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 15.96, adversary_1: 15.96, adversary_2: 15.96, agent_0: -20.86]
Ep 21500/60000 | Noise: 0.17 | Avg Rewards: [adversary_0: 13.46, adversary_1: 13.46, adversary_2: 13.46, agent_0: -19.19]
Ep 22000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 13.10, adversary_1: 13.10, adversary_2: 13.10, agent_0: -19.76]
Ep 22500/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 12.30, adversary_1: 12.30, adversary_2: 12.30, agent_0: -19.18]
Ep 23000/60000 | Noise: 0.16 | Avg Rewards: [adversary_0: 11.60, adversary_1: 11.60, adversary_2: 11.60, agent_0: -17.68]
Ep 23500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 12.70, adversary_1: 12.70, adversary_2: 12.70, agent_0: -19.24]
Ep 24000/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 11.32, adversary_1: 11.32, adversary_2: 11.32, agent_0: -17.22]
Ep 24500/60000 | Noise: 0.15 | Avg Rewards: [adversary_0: 12.64, adversary_1: 12.64, adversary_2: 12.64, agent_0: -18.47]
Ep 25000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 12.18, adversary_1: 12.18, adversary_2: 12.18, agent_0: -17.62]
Ep 25500/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 11.42, adversary_1: 11.42, adversary_2: 11.42, agent_0: -17.05]
Ep 26000/60000 | Noise: 0.14 | Avg Rewards: [adversary_0: 12.40, adversary_1: 12.40, adversary_2: 12.40, agent_0: -17.47]
Ep 26500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 12.38, adversary_1: 12.38, adversary_2: 12.38, agent_0: -18.91]
Ep 27000/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 11.36, adversary_1: 11.36, adversary_2: 11.36, agent_0: -18.53]
Ep 27500/60000 | Noise: 0.13 | Avg Rewards: [adversary_0: 12.10, adversary_1: 12.10, adversary_2: 12.10, agent_0: -19.24]
Ep 28000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 11.68, adversary_1: 11.68, adversary_2: 11.68, agent_0: -18.13]
Ep 28500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 10.06, adversary_1: 10.06, adversary_2: 10.06, agent_0: -15.72]
Ep 29000/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 13.14, adversary_1: 13.14, adversary_2: 13.14, agent_0: -19.52]
Ep 29500/60000 | Noise: 0.12 | Avg Rewards: [adversary_0: 11.12, adversary_1: 11.12, adversary_2: 11.12, agent_0: -17.59]
Ep 30000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 10.62, adversary_1: 10.62, adversary_2: 10.62, agent_0: -17.36]
Ep 30500/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 9.56, adversary_1: 9.56, adversary_2: 9.56, agent_0: -16.59]
Ep 31000/60000 | Noise: 0.11 | Avg Rewards: [adversary_0: 11.24, adversary_1: 11.24, adversary_2: 11.24, agent_0: -18.44]
Ep 31500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 10.24, adversary_1: 10.24, adversary_2: 10.24, agent_0: -16.25]
Ep 32000/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 10.30, adversary_1: 10.30, adversary_2: 10.30, agent_0: -16.12]
Ep 32500/60000 | Noise: 0.10 | Avg Rewards: [adversary_0: 10.62, adversary_1: 10.62, adversary_2: 10.62, agent_0: -16.63]
Ep 33000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 11.18, adversary_1: 11.18, adversary_2: 11.18, agent_0: -16.66]
Ep 33500/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 9.14, adversary_1: 9.14, adversary_2: 9.14, agent_0: -15.34]
Ep 34000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 9.50, adversary_1: 9.50, adversary_2: 9.50, agent_0: -15.45]
Ep 34500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 8.76, adversary_1: 8.76, adversary_2: 8.76, agent_0: -14.43]
Ep 35000/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 7.76, adversary_1: 7.76, adversary_2: 7.76, agent_0: -13.54]
Ep 35500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 9.70, adversary_1: 9.70, adversary_2: 9.70, agent_0: -15.90]
Ep 36000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 9.40, adversary_1: 9.40, adversary_2: 9.40, agent_0: -15.57]
Ep 36500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 10.00, adversary_1: 10.00, adversary_2: 10.00, agent_0: -15.58]
Ep 37000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 8.42, adversary_1: 8.42, adversary_2: 8.42, agent_0: -14.11]
Ep 37500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 8.88, adversary_1: 8.88, adversary_2: 8.88, agent_0: -14.65]
Ep 38000/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 8.72, adversary_1: 8.72, adversary_2: 8.72, agent_0: -13.40]
Ep 38500/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 8.28, adversary_1: 8.28, adversary_2: 8.28, agent_0: -13.58]
Ep 39000/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 10.20, adversary_1: 10.20, adversary_2: 10.20, agent_0: -15.71]
Ep 39500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.24, adversary_1: 8.24, adversary_2: 8.24, agent_0: -13.61]
Ep 40000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 7.68, adversary_1: 7.68, adversary_2: 7.68, agent_0: -12.82]
Ep 40500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.44, adversary_1: 8.44, adversary_2: 8.44, agent_0: -13.75]
Ep 41000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.12, adversary_1: 9.12, adversary_2: 9.12, agent_0: -14.40]
Ep 41500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.02, adversary_1: 9.02, adversary_2: 9.02, agent_0: -14.45]
Ep 42000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.72, adversary_1: 8.72, adversary_2: 8.72, agent_0: -13.97]
Ep 42500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.56, adversary_1: 9.56, adversary_2: 9.56, agent_0: -15.19]
Ep 43000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.44, adversary_1: 9.44, adversary_2: 9.44, agent_0: -14.32]
Ep 43500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.24, adversary_1: 9.24, adversary_2: 9.24, agent_0: -14.11]
Ep 44000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.74, adversary_1: 9.74, adversary_2: 9.74, agent_0: -14.78]
Ep 44500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.62, adversary_1: 9.62, adversary_2: 9.62, agent_0: -14.27]
Ep 45000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.88, adversary_1: 8.88, adversary_2: 8.88, agent_0: -13.85]
Ep 45500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.80, adversary_1: 9.80, adversary_2: 9.80, agent_0: -14.27]
Ep 46000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.90, adversary_1: 8.90, adversary_2: 8.90, agent_0: -13.86]
Ep 46500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.54, adversary_1: 8.54, adversary_2: 8.54, agent_0: -13.73]
Ep 47000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.02, adversary_1: 8.02, adversary_2: 8.02, agent_0: -12.16]
Ep 47500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.68, adversary_1: 9.68, adversary_2: 9.68, agent_0: -14.30]
Ep 48000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.00, adversary_1: 9.00, adversary_2: 9.00, agent_0: -13.56]
Ep 48500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 10.90, adversary_1: 10.90, adversary_2: 10.90, agent_0: -16.01]
Ep 49000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.92, adversary_1: 9.92, adversary_2: 9.92, agent_0: -15.15]
Ep 49500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.12, adversary_1: 9.12, adversary_2: 9.12, agent_0: -14.42]
Ep 50000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.24, adversary_1: 8.24, adversary_2: 8.24, agent_0: -12.89]
Ep 50500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.66, adversary_1: 9.66, adversary_2: 9.66, agent_0: -14.48]
Ep 51000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.42, adversary_1: 9.42, adversary_2: 9.42, agent_0: -14.53]
Ep 51500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 7.98, adversary_1: 7.98, adversary_2: 7.98, agent_0: -12.14]
Ep 52000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.36, adversary_1: 9.36, adversary_2: 9.36, agent_0: -14.86]
Ep 52500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 7.90, adversary_1: 7.90, adversary_2: 7.90, agent_0: -12.50]
Ep 53000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.36, adversary_1: 9.36, adversary_2: 9.36, agent_0: -14.23]
Ep 53500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.62, adversary_1: 9.62, adversary_2: 9.62, agent_0: -14.89]
Ep 54000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.46, adversary_1: 8.46, adversary_2: 8.46, agent_0: -13.37]
Ep 54500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.52, adversary_1: 8.52, adversary_2: 8.52, agent_0: -13.88]
Ep 55000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.36, adversary_1: 9.36, adversary_2: 9.36, agent_0: -14.22]
Ep 55500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 10.08, adversary_1: 10.08, adversary_2: 10.08, agent_0: -14.69]
Ep 56000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 7.94, adversary_1: 7.94, adversary_2: 7.94, agent_0: -13.02]
Ep 56500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 7.88, adversary_1: 7.88, adversary_2: 7.88, agent_0: -13.32]
Ep 57000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.20, adversary_1: 8.20, adversary_2: 8.20, agent_0: -14.05]
Ep 57500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.76, adversary_1: 8.76, adversary_2: 8.76, agent_0: -14.71]
Ep 58000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.28, adversary_1: 8.28, adversary_2: 8.28, agent_0: -13.57]
Ep 58500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.34, adversary_1: 8.34, adversary_2: 8.34, agent_0: -13.87]
Ep 59000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 7.72, adversary_1: 7.72, adversary_2: 7.72, agent_0: -13.09]
Ep 59500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.60, adversary_1: 8.60, adversary_2: 8.60, agent_0: -13.85]
Ep 60000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 8.50, adversary_1: 8.50, adversary_2: 8.50, agent_0: -13.73]
Training complete! Logs saved to results/maddpg_fast_run_rewards.csv

Training finished: Fri Jun 19 03:27:49 AM UTC 2026
===============================
Evaluation started: Fri Jun 19 03:27:49 AM UTC 2026

Loaded episode 60000 from checkpoints/maddpg/fast_run
